depth,density,mag_suscep,scaler_tmi,total_gamma,caliper,lithology
333,2.396,,,,,polymict lithic breccia
333.5,2.409,,,,,polymict lithic breccia
334,2.423,,,,,polymict lithic breccia
334.5,2.436,,,,,polymict lithic breccia
335,2.424,1.147,,,,polymict lithic breccia
335.5,2.411,1.132,,,,polymict lithic breccia
336,2.399,1.116,,,,polymict lithic breccia
336.5,2.359,1.101,,,,polymict lithic breccia
337,2.318,1.096,,,,polymict lithic breccia
337.5,2.288,1.092,,,,polymict lithic breccia
338,2.257,1.088,,,,polymict lithic breccia
338.5,2.248,1.092,,,,polymict lithic breccia
339,2.239,1.097,,,,polymict lithic breccia
339.5,2.23,1.101,728.719,,,polymict lithic breccia
340,2.223,1.106,314.546,,,polymict lithic breccia
340.5,2.217,1.14,-371.055,47.99,,polymict lithic breccia
341,2.211,1.164,-670.942,48.051,,polymict lithic breccia
341.5,2.204,1.188,-1070.773,48.111,,polymict lithic breccia
342,2.198,1.195,-1556.317,48.171,,polymict lithic breccia
342.5,2.192,1.203,-1689.5,48.231,,polymict lithic breccia
343,2.19,1.21,-1822.683,48.291,,polymict lithic breccia
343.5,2.188,1.228,-1757.497,48.351,100.224,polymict lithic breccia
344,2.186,1.246,-1692.311,49.057,100.394,polymict lithic breccia
344.5,2.184,1.264,-1627.125,49.763,100.564,polymict lithic breccia
345,2.182,1.301,-1026.956,50.469,100.756,polymict lithic breccia
345.5,2.208,1.337,-583.985,50.735,100.947,polymict lithic breccia
346,2.233,1.414,-326.673,51.001,101.138,polymict lithic breccia
346.5,2.286,1.477,-117.055,51.267,100.947,polymict lithic breccia
347,2.338,1.477,-150.21,51.533,100.756,polymict lithic breccia
347.5,2.344,1.477,-183.364,52.474,100.564,polymict lithic breccia
348,2.35,1.477,-318.966,53.415,100.575,polymict lithic breccia
348.5,2.356,1.469,-454.567,54.355,100.586,polymict lithic breccia
349,2.333,1.462,-725.77,54.445,100.596,polymict lithic breccia
349.5,2.31,1.426,-939.971,54.534,100.607,polymict lithic breccia
350,2.224,1.389,-1154.172,54.624,100.494,polymict lithic breccia
350.5,2.189,1.352,-1287.336,54.713,100.38,polymict lithic breccia
351,2.185,1.35,-1420.5,53.717,100.267,polymict lithic breccia
351.5,2.182,1.348,-1287.053,52.72,100.161,polymict lithic breccia
352,2.179,1.387,-1153.607,51.723,100.054,polymict lithic breccia
352.5,2.176,1.404,-1048.695,51.96,100.012,polymict lithic breccia
353,2.172,1.421,-943.782,52.196,99.969,polymict lithic breccia
353.5,2.169,1.438,-1238.87,52.433,99.927,polymict lithic breccia
354,2.166,1.434,-1388.729,51.862,99.884,polymict lithic breccia
354.5,2.186,1.431,-1538.587,51.291,100.278,polymict lithic breccia
355,2.206,1.428,-1470.189,50.721,100.671,polymict lithic breccia
355.5,2.231,1.388,-1401.791,50.15,101.064,polymict lithic breccia
356,2.255,1.394,-1333.393,48.566,101.457,polymict lithic breccia
356.5,2.232,1.399,-1392.738,46.982,101.967,polymict lithic breccia
357,2.209,1.405,-1452.083,45.956,102.477,polymict lithic breccia
357.5,2.315,1.378,-1273.398,44.93,102.615,polymict lithic breccia
358,2.357,1.351,-1094.714,43.904,102.754,polymict lithic breccia
358.5,2.359,1.364,-723.116,44.835,102.695,polymict lithic breccia
359,2.361,1.377,-487.26,45.766,102.637,polymict lithic breccia
359.5,2.363,1.391,-251.405,46.698,102.578,suevite
360,2.303,1.406,-226.264,47.037,102.52,suevite
360.5,2.309,1.42,-201.123,47.376,102.491,suevite
361,2.315,1.454,-175.982,47.715,102.463,suevite
361.5,2.321,1.449,-150.84,48.054,102.435,suevite
362,2.328,1.444,-141.185,49.376,101.946,suevite
362.5,2.334,1.438,-131.529,50.699,101.457,suevite
363,2.359,1.446,-121.874,52.021,100.904,suevite
363.5,2.384,1.453,-103.889,51.451,101.032,suevite
364,2.407,1.46,-85.905,50.88,101.16,suevite
364.5,2.429,1.462,-67.921,50.318,101.287,suevite
365,2.403,1.465,-49.937,49.756,101.415,suevite
365.5,2.378,1.467,264.575,49.194,101.575,suevite
366,2.352,1.47,-85.312,48.631,101.736,suevite
366.5,2.338,1.448,-435.199,48.069,101.896,suevite
367,2.325,1.426,-1492.173,47.102,101.344,suevite
367.5,2.312,1.321,-1879.532,46.135,100.791,suevite
368,2.353,1.349,-2266.891,45.755,100.716,suevite
368.5,2.394,1.416,-1682.31,45.375,100.64,suevite
369,2.383,1.391,-1529.788,44.995,100.564,suevite
369.5,2.372,1.366,-1377.266,44.067,100.734,suevite
370,2.362,1.341,-948.525,43.138,100.904,suevite
370.5,2.351,1.317,-801.956,42.21,101.075,polymict lithic breccia
371,2.341,1.356,-655.386,38.924,101.188,polymict lithic breccia
371.5,2.348,1.408,-551.645,35.579,101.301,polymict lithic breccia
372,2.355,1.404,-447.904,31.178,101.415,polymict lithic breccia
372.5,2.361,1.4,-333.506,25.719,101.075,polymict lithic breccia
373,2.372,1.395,-219.107,22.022,100.734,polymict lithic breccia
373.5,2.382,1.392,-104.708,22.992,99.856,polymict lithic breccia
374,2.392,1.388,-97.424,23.962,99.544,polymict lithic breccia
374.5,2.402,1.384,-90.14,24.932,99.927,polymict lithic breccia
375,2.389,1.35,-225.713,25.903,100.309,polymict lithic breccia
375.5,2.376,1.346,-361.286,26.873,100.423,polymict lithic breccia
376,2.332,1.342,-439.698,27.843,100.536,polymict lithic breccia
376.5,2.314,1.338,-518.109,28.813,100.649,polymict lithic breccia
377,2.295,1.334,-496.524,29.783,100.671,polymict lithic breccia
377.5,2.325,1.398,-474.938,30.753,100.692,polymict lithic breccia
378,2.285,1.368,-453.353,31.724,100.713,polymict lithic breccia
378.5,2.245,1.338,-490.74,32.694,100.734,suevite
379,2.205,1.326,-528.127,33.664,100.785,suevite
379.5,2.19,1.313,-565.514,29.321,100.836,suevite
380,2.175,1.264,-602.901,30.438,100.887,suevite
380.5,2.168,1.242,-636.061,31.555,100.938,suevite
381,2.162,1.221,-669.22,24.512,100.99,suevite
381.5,2.155,1.267,-702.379,25.218,101.082,suevite
382,2.149,1.298,-735.538,25.924,101.174,suevite
382.5,2.142,1.328,-698.525,26.63,101.266,suevite
383,2.136,1.305,-661.512,27.336,101.358,suevite
383.5,2.134,1.281,-624.499,31.565,101.32,suevite
384,2.132,1.272,-587.486,35.442,101.282,suevite
384.5,2.131,1.262,-534.955,39.671,101.245,suevite
385,2.129,1.296,-482.423,41.257,101.181,suevite
385.5,2.127,1.339,-429.892,42.843,101.117,suevite
386,2.152,1.378,-349.745,44.841,101.053,suevite
386.5,2.177,1.392,-269.598,46.839,100.99,suevite
387,2.202,1.406,-189.451,48.837,100.904,suevite
387.5,2.235,1.421,-109.305,52.361,100.819,suevite
388,2.267,1.47,-29.158,53.772,100.734,suevite
388.5,2.333,1.504,75.736,55.182,100.522,suevite
389,2.373,1.534,180.63,55.389,100.309,suevite
389.5,2.34,1.528,285.523,55.596,100.097,suevite
390,2.308,1.522,571.407,55.803,99.884,suevite
390.5,2.303,1.517,700.091,56.01,99.894,polymict lithic breccia
391,2.299,1.506,828.776,56.892,99.903,polymict lithic breccia
391.5,2.294,1.495,571.859,57.775,99.913,polymict lithic breccia
392,2.282,1.484,243.4,58.129,99.896,polymict lithic breccia
392.5,2.271,1.488,0.656,58.483,99.88,polymict lithic breccia
393,2.259,1.491,-313.404,58.836,99.863,polymict lithic breccia
393.5,2.317,1.495,-148.991,59.19,100.007,polymict lithic breccia
394,2.218,1.474,15.422,59.035,100.15,polymict lithic breccia
394.5,2.215,1.452,179.834,58.88,100.293,polymict lithic breccia
395,2.213,1.43,344.247,58.725,100.437,polymict lithic breccia
395.5,2.21,1.41,232.493,56.613,100.543,suevite
396,2.208,1.389,120.739,54.941,100.649,suevite
396.5,2.205,1.383,8.985,53.268,100.756,suevite
397,2.203,1.377,-36.141,49.572,100.458,suevite
397.5,2.2,1.371,-81.266,48.869,100.161,suevite
398,2.201,1.377,-126.391,48.165,99.863,suevite
398.5,2.203,1.382,-411.879,47.462,99.87,suevite
399,2.204,1.388,-476.852,48.227,99.877,suevite
399.5,2.205,1.403,-541.825,48.992,99.884,suevite
400,2.206,1.418,-606.797,49.757,99.979,suevite
400.5,2.205,1.402,-559.028,50.404,100.073,suevite
401,2.204,1.386,-511.258,51.052,100.168,suevite
401.5,2.202,1.37,-357.546,51.699,100.129,suevite
402,2.201,1.372,-203.833,50.468,100.09,suevite
402.5,2.199,1.374,-235.806,49.236,100.051,suevite
403,2.197,1.375,-267.78,48.004,100.012,suevite
403.5,2.202,1.437,-341.477,48.417,99.998,suevite
404,2.206,1.456,-415.173,48.829,99.983,suevite
404.5,2.211,1.474,-488.87,49.242,99.969,suevite
405,2.225,1.467,-322.84,51.005,99.955,suevite
405.5,2.24,1.459,-156.81,52.768,99.941,suevite
406,2.255,1.44,9.22,51.87,99.851,suevite
406.5,2.212,1.421,-30.3,50.971,99.762,suevite
407,2.231,1.424,-69.819,50.072,99.672,suevite
407.5,2.25,1.427,-109.338,49.242,99.757,suevite
408,2.268,1.507,5.088,48.411,99.842,suevite
408.5,2.261,1.555,119.515,47.581,99.927,suevite
409,2.254,1.603,186.295,47.847,100.012,suevite
409.5,2.265,1.584,253.075,48.113,99.969,suevite
410,2.275,1.565,319.854,48.379,99.927,suevite
410.5,2.286,1.489,320.024,48.322,99.792,suevite
411,2.287,1.448,320.193,48.264,99.658,suevite
411.5,2.288,1.359,421.925,48.207,99.523,suevite
412,2.289,1.285,523.656,47.622,99.625,suevite
412.5,2.283,1.263,625.388,47.036,99.726,suevite
413,2.277,1.242,644.529,46.45,99.828,suevite
413.5,2.271,1.23,663.671,44.47,99.79,suevite
414,2.239,1.218,642.374,42.49,99.752,suevite
414.5,2.207,1.217,621.078,42.58,99.714,suevite
