depth,density,mag_suscep,scaler_tmi,total_gamma,caliper,lithology
318.5,2.826,1.533,-1103.754,50.758,100.178,shale slate phyllite schist
319,2.819,1.551,-854.174,52.566,99.86,metagreywacke
319.5,2.812,1.59,-810.308,52.432,99.543,metagreywacke
320,2.812,1.629,-766.443,52.299,99.619,metagreywacke
320.5,2.812,1.636,-722.577,52.166,99.695,metagreywacke
321,2.812,1.644,-879.132,52.033,99.771,metagreywacke
321.5,2.812,1.652,-1035.686,51.9,100.012,metagreywacke
322,2.825,1.644,-1376.022,51.767,100.252,metagreywacke
322.5,2.839,1.636,-1743.585,51.634,100.493,suevite
323,2.853,1.628,-1939.619,51.203,100.604,suevite
323.5,2.867,1.668,-2135.653,50.772,100.714,metagreywacke
324,2.85,1.631,-2086.644,50.342,100.825,metagreywacke
324.5,2.832,1.554,-2037.636,49.149,100.626,metagreywacke
325,2.773,1.481,-1988.627,47.956,100.428,metagreywacke
325.5,2.724,1.437,-1866.106,49.738,100.23,metagreywacke
326,2.695,1.407,-1886.527,51.52,100.204,metagreywacke
326.5,2.665,1.378,-1906.947,52.091,100.177,metagreywacke
327,2.654,1.4,-1927.367,52.662,100.151,metagreywacke
327.5,2.644,1.422,-1908.459,53.234,100.124,metagreywacke
328,2.633,1.502,-1889.552,50.922,100.098,metagreywacke
328.5,2.632,1.571,-1870.644,48.611,100.071,metagreywacke
329,2.631,1.619,-1634.678,44.53,100.113,metagreywacke
329.5,2.631,1.667,-1362.409,43.963,100.155,metagreywacke
330,2.636,1.715,-1090.14,43.396,100.197,metagreywacke
330.5,2.641,1.732,-772.493,42.829,100.143,metagreywacke
331,2.647,1.75,-737.703,42.611,100.089,metagreywacke
331.5,2.658,1.735,-702.913,42.393,100.035,metagreywacke
332,2.669,1.72,-668.123,42.174,100.173,shale slate phyllite schist
332.5,2.68,1.704,-711.686,41.956,100.311,shale slate phyllite schist
333,2.676,1.689,-755.249,46.382,100.449,shale slate phyllite schist
333.5,2.673,1.652,-798.812,51.786,100.49,shale slate phyllite schist
334,2.67,1.633,-842.375,54.615,100.532,shale slate phyllite schist
334.5,2.666,1.614,-885.938,57.444,100.574,shale slate phyllite schist
335,2.66,1.586,-867.787,58.106,100.596,shale slate phyllite schist
335.5,2.653,1.557,-849.636,58.767,100.617,metagreywacke
336,2.646,1.533,-831.485,59.429,100.638,metagreywacke
336.5,2.646,1.509,-833.754,59.478,100.659,metagreywacke
337,2.646,1.459,-836.022,59.528,100.694,metagreywacke
337.5,2.646,1.424,-838.291,56.591,100.729,metagreywacke
338,2.655,1.425,-1018.669,54.635,100.764,metagreywacke
338.5,2.664,1.425,-1199.048,52.679,100.755,metagreywacke
339,2.672,1.425,-1345.392,52.44,100.746,metagreywacke
339.5,2.681,1.504,-1491.737,52.202,100.555,metagreywacke
340,2.689,1.621,-1467.913,47.954,100.364,metagreywacke
340.5,2.697,1.653,-1444.09,43.542,100.172,metagreywacke
341,2.689,1.685,-1260.308,41.558,99.896,metagreywacke
341.5,2.682,1.717,-1076.527,39.574,99.62,metagreywacke
342,2.674,1.749,-736.19,40.101,99.651,metagreywacke
342.5,2.672,1.782,-518.375,40.628,99.683,shale slate phyllite schist
343,2.67,1.793,-426.485,45.381,99.714,shale slate phyllite schist
343.5,2.668,1.805,-334.594,52.257,99.746,shale slate phyllite schist
344,2.666,1.786,-423.081,56.68,99.863,shale slate phyllite schist
344.5,2.665,1.767,-511.569,61.105,99.98,shale slate phyllite schist
345,2.663,1.82,-600.056,62.463,100.098,shale slate phyllite schist
345.5,2.661,1.779,-665.854,63.821,100.135,shale slate phyllite schist
346,2.656,1.8,-731.653,62.818,100.172,shale slate phyllite schist
346.5,2.652,1.821,-797.451,61.815,100.21,shale slate phyllite schist
347,2.631,1.749,-904.09,60.813,100.297,metagreywacke
347.5,2.61,1.662,-1010.728,58.012,100.385,metagreywacke
348,2.607,1.536,-1117.367,55.212,100.473,metagreywacke
348.5,2.604,1.466,-1430.476,56.698,100.48,shale slate phyllite schist
349,2.601,1.428,-1410.056,58.184,100.488,shale slate phyllite schist
349.5,2.598,1.39,-1389.636,59.67,100.496,shale slate phyllite schist
350,2.596,1.361,-1369.216,58.14,100.613,shale slate phyllite schist
350.5,2.593,1.331,-1338.585,56.61,100.73,metagreywacke
351,2.59,1.366,-1307.955,52.853,100.847,metagreywacke
351.5,2.594,1.427,-1277.325,46.481,100.273,metagreywacke
352,2.597,1.497,-1246.695,40.439,100.228,metagreywacke
352.5,2.6,1.537,-1221.737,39.996,100.184,metagreywacke
353,2.604,1.577,-1196.779,39.553,100.139,metagreywacke
353.5,2.608,1.587,-1171.821,39.11,100.095,metagreywacke
354,2.612,1.597,-1126.443,38.667,100.05,metagreywacke
354.5,2.6,1.608,-1081.064,40.455,100.12,metagreywacke
355,2.588,1.648,-1035.686,42.243,100.189,metagreywacke
355.5,2.619,1.616,-858.711,44.031,100.258,metagreywacke
356,2.609,1.585,-820.14,51.78,100.198,metagreywacke
356.5,2.599,1.555,-781.569,54.569,100.137,metagreywacke
357,2.597,1.518,-742.997,53.813,100.076,metagreywacke
357.5,2.595,1.481,-663.585,53.057,100.084,metagreywacke
358,2.592,1.468,-584.174,52.301,100.091,shale slate phyllite schist
358.5,2.59,1.456,-504.762,50.51,100.099,shale slate phyllite schist
359,2.588,1.465,-518.375,48.719,100.11,shale slate phyllite schist
359.5,2.585,1.474,-531.989,45.452,100.122,shale slate phyllite schist
360,2.583,1.482,-545.602,43.903,100.376,shale slate phyllite schist
360.5,2.581,1.491,-654.51,42.354,100.63,shale slate phyllite schist
361,2.587,1.488,-763.417,42.197,100.884,shale slate phyllite schist
361.5,2.594,1.485,-826.947,42.04,100.693,polymict lithic breccia
362,2.6,1.508,-890.476,41.884,100.502,polymict lithic breccia
362.5,2.612,1.532,-954.006,44.676,100.311,metagreywacke
363,2.624,1.608,-929.048,47.79,100.284,metagreywacke
363.5,2.637,1.595,-904.09,50.169,100.258,metagreywacke
364,2.632,1.582,-879.132,52.548,100.231,metagreywacke
364.5,2.627,1.569,-821.275,52.965,100.116,metagreywacke
365,2.615,1.479,-763.417,53.382,100,metagreywacke
365.5,2.602,1.382,-719.174,54.533,99.884,metagreywacke
366,2.59,1.316,-674.93,55.684,99.885,metagreywacke
366.5,2.594,1.318,-630.686,56.835,99.886,metagreywacke
367,2.599,1.319,-586.443,55.37,99.887,metagreywacke
367.5,2.603,1.321,-634.09,53.906,99.915,metagreywacke
368,2.599,1.323,-681.737,50.646,99.943,metagreywacke
368.5,2.595,1.32,-681.737,49.451,99.972,metagreywacke
369,2.59,1.317,-681.737,48.257,99.931,metagreywacke
369.5,2.584,1.313,-681.737,47.063,99.891,metagreywacke
370,2.577,1.31,-681.737,47.727,99.851,metagreywacke
370.5,2.571,1.307,-681.737,48.391,99.893,metagreywacke
371,2.552,1.304,-683.438,47.252,99.935,metagreywacke
371.5,2.534,1.301,-685.14,46.112,99.977,metagreywacke
372,2.519,1.298,-686.842,43.5,99.977,metagreywacke
372.5,2.504,1.317,-688.543,40.561,99.978,metagreywacke
373,2.49,1.336,-679.468,39.014,99.979,metagreywacke
373.5,2.499,1.382,-670.392,37.466,99.973,metagreywacke
374,2.509,1.402,-661.317,38.103,99.967,metagreywacke
374.5,2.519,1.427,-567.157,38.74,99.961,metagreywacke
375,2.559,1.452,-472.997,39.473,99.955,metagreywacke
375.5,2.592,1.499,-370.14,40.205,99.949,metagreywacke
376,2.626,1.511,-267.283,40.938,99.943,metagreywacke
376.5,2.648,1.524,-164.426,42.912,99.902,metagreywacke
377,2.67,1.536,-119.048,47.254,99.862,metagreywacke
377.5,2.67,1.524,-73.669,49.346,99.879,metagreywacke
378,2.671,1.536,-28.291,51.438,99.897,metagreywacke
378.5,2.672,1.548,-46.443,53.6,99.914,metagreywacke
379,2.673,1.56,-64.594,55.761,99.931,metagreywacke
379.5,2.678,1.572,-82.745,57.923,99.948,shale slate phyllite schist
380,2.683,1.585,-141.737,57.152,99.942,shale slate phyllite schist
380.5,2.689,1.597,-200.728,56.382,99.936,shale slate phyllite schist
381,2.696,1.609,-259.72,54.097,99.93,shale slate phyllite schist
381.5,2.703,1.621,-286.947,51.491,99.915,shale slate phyllite schist
382,2.711,1.59,-314.174,51.716,99.9,shale slate phyllite schist
382.5,2.654,1.56,-341.401,51.942,99.884,shale slate phyllite schist
383,2.631,1.521,-343.669,52.168,99.737,shale slate phyllite schist
383.5,2.608,1.486,-345.938,53.971,99.589,shale slate phyllite schist
384,2.607,1.465,-348.207,55.775,99.441,shale slate phyllite schist
384.5,2.605,1.444,-286.947,56.383,99.607,shale slate phyllite schist
385,2.604,1.423,-225.686,56.99,99.772,shale slate phyllite schist
385.5,2.602,1.428,-164.426,56.808,99.937,shale slate phyllite schist
386,2.601,1.433,-128.123,56.626,99.849,shale slate phyllite schist
386.5,2.635,1.463,-91.821,55.323,99.761,shale slate phyllite schist
387,2.653,1.493,-55.518,54.02,99.672,metagreywacke
387.5,2.671,1.474,46.583,53.928,99.564,metagreywacke
388,2.679,1.429,148.683,53.837,99.455,metagreywacke
388.5,2.687,1.385,178.179,53.745,99.346,metagreywacke
389,2.696,1.35,207.675,53.654,99.32,metagreywacke
389.5,2.704,1.314,237.171,53.562,99.293,metagreywacke
390,2.712,1.309,253.053,53.408,99.266,metagreywacke
390.5,2.72,1.304,268.936,53.254,99.315,metagreywacke
391,2.722,1.298,284.818,51.462,99.364,metagreywacke
391.5,2.725,1.257,274.608,49.669,99.413,metagreywacke
392,2.727,1.233,264.398,44.933,99.4,metagreywacke
392.5,2.73,1.209,254.188,42.974,99.387,metagreywacke
393,2.734,1.161,243.978,41.015,99.374,metagreywacke
393.5,2.82,1.147,216.751,41.133,99.396,metagreywacke
394,2.869,1.133,189.524,41.252,99.417,metagreywacke
394.5,2.918,1.152,162.297,41.37,99.438,metagreywacke
395,2.941,1.171,132.801,43.255,99.48,metagreywacke
395.5,2.964,1.221,103.305,45.141,99.522,metagreywacke
396,2.959,1.208,73.81,46.784,99.564,metagreywacke
396.5,2.955,1.194,53.389,48.427,99.534,metagreywacke
397,2.95,1.181,32.969,48.844,99.504,metagreywacke
397.5,2.918,1.184,12.549,49.261,99.474,metagreywacke
398,2.88,1.186,23.894,52.5,99.444,metagreywacke
398.5,2.78,1.189,35.238,55.739,99.451,metagreywacke
399,2.638,1.226,46.583,54.396,99.459,metagreywacke
399.5,2.532,1.267,71.541,53.054,99.467,metagreywacke
400,2.492,1.324,96.499,48.973,99.406,metagreywacke
400.5,2.466,1.329,121.457,49.252,99.345,metagreywacke
401,2.44,1.334,155.49,49.531,99.284,metagreywacke
401.5,2.455,1.339,189.524,49.81,99.312,metagreywacke
402,2.471,1.352,223.557,52.026,99.341,metagreywacke
402.5,2.49,1.365,245.679,54.241,99.369,metagreywacke
403,2.51,1.378,267.801,54.33,99.356,metagreywacke
403.5,2.534,1.386,289.923,54.419,99.343,metagreywacke
404,2.557,1.395,312.045,50.989,99.33,metagreywacke
404.5,2.582,1.398,339.272,49.114,99.331,metagreywacke
405,2.606,1.401,366.499,47.24,99.332,metagreywacke
405.5,2.627,1.405,393.725,48.802,99.333,metagreywacke
406,2.648,1.404,414.146,50.365,99.364,metagreywacke
406.5,2.655,1.404,434.566,48.819,99.396,metagreywacke
407,2.662,1.404,454.986,47.273,99.428,metagreywacke
407.5,2.637,1.456,475.406,47.824,99.459,metagreywacke
408,2.612,1.487,495.826,48.375,99.446,metagreywacke
408.5,2.587,1.531,516.246,48.925,99.434,metagreywacke
409,2.579,1.548,543.473,52.208,99.421,metagreywacke
409.5,2.57,1.505,570.7,50.579,99.339,metagreywacke
410,2.562,1.461,597.927,48.95,99.258,metagreywacke
410.5,2.566,1.436,609.272,47.976,99.177,metagreywacke
411,2.57,1.411,620.616,47.001,99.225,metagreywacke
411.5,2.573,1.387,631.961,45.209,99.274,metagreywacke
412,2.542,1.376,654.083,43.418,99.323,metagreywacke
412.5,2.51,1.365,676.204,45.715,99.288,metagreywacke
413,2.489,1.318,698.326,48.013,99.252,metagreywacke
413.5,2.469,1.302,720.448,50.636,99.217,metagreywacke
414,2.448,1.286,738.599,53.916,99.182,metagreywacke
414.5,2.427,1.3,756.751,55.522,99.224,metagreywacke
415,2.429,1.315,774.902,57.128,99.266,metagreywacke
415.5,2.43,1.33,781.709,58.734,99.308,metagreywacke
416,2.431,1.345,788.515,57.325,99.267,metagreywacke
416.5,2.457,1.397,815.742,55.916,99.227,metagreywacke
417,2.484,1.449,842.969,50.522,99.187,metagreywacke
417.5,2.495,1.44,870.196,48.92,99.229,metagreywacke
418,2.507,1.432,897.423,47.318,99.271,metagreywacke
418.5,2.519,1.423,954.902,48.643,99.313,metagreywacke
419,2.514,1.415,1012.381,49.969,99.361,metagreywacke
419.5,2.51,1.406,1069.86,51.295,99.41,metagreywacke
420,2.506,1.398,1023.725,49.543,99.459,metagreywacke
420.5,2.516,1.383,977.591,47.791,99.419,metagreywacke
421,2.527,1.368,931.457,45.506,99.378,metagreywacke
421.5,2.538,1.365,931.457,42.24,99.338,metagreywacke
422,2.592,1.362,931.457,39.955,99.435,polymict lithic breccia
422.5,2.604,1.359,931.457,36.037,99.532,polymict lithic breccia
423,2.616,1.382,926.352,33.431,99.629,metagreywacke
423.5,2.628,1.405,921.246,36.384,99.547,metagreywacke
424,2.606,1.429,916.141,40.479,99.466,metagreywacke
424.5,2.584,1.453,911.036,46.374,99.384,metagreywacke
425,2.563,1.456,911.036,49.898,99.337,metagreywacke
425.5,2.562,1.459,911.036,53.423,99.29,metagreywacke
426,2.561,1.462,911.036,52.857,99.243,metagreywacke
426.5,2.561,1.433,892.885,52.291,99.192,metagreywacke
427,2.55,1.403,874.734,51.726,99.142,metagreywacke
427.5,2.539,1.373,856.583,51.16,99.091,metagreywacke
428,2.529,1.373,849.776,51.93,99.04,metagreywacke
428.5,2.519,1.373,842.969,52.7,99.027,metagreywacke
429,2.509,1.354,836.162,53.47,99.014,metagreywacke
429.5,2.498,1.334,815.742,52.333,99.001,metagreywacke
430,2.488,1.319,795.322,51.196,99.002,metagreywacke
430.5,2.479,1.304,774.902,52.512,99.003,metagreywacke
431,2.469,1.23,743.137,53.829,99.004,metagreywacke
431.5,2.471,1.264,711.373,55.145,99.012,metagreywacke
432,2.472,1.315,679.608,56.461,99.019,metagreywacke
432.5,2.473,1.305,657.486,56.469,99.027,metagreywacke
433,2.474,1.294,635.364,56.476,99.076,metagreywacke
433.5,2.475,1.283,613.242,56.484,99.125,metagreywacke
434,2.567,1.335,591.12,57.28,99.173,metagreywacke
434.5,2.626,1.366,541.204,58.076,99.236,polymict lithic breccia
435,2.657,1.392,491.289,58.872,99.298,polymict lithic breccia
435.5,2.687,1.418,441.373,53.239,99.361,metagreywacke
436,2.686,1.438,416.415,51.827,99.365,metagreywacke
436.5,2.686,1.458,391.457,50.415,99.369,metagreywacke
437,2.685,1.432,366.499,49.002,99.373,metagreywacke
437.5,2.679,1.406,355.154,49.61,99.378,metagreywacke
438,2.672,1.342,343.81,50.217,99.382,metagreywacke
438.5,2.666,1.323,332.465,50.824,99.386,metagreywacke
439,2.661,1.304,310.343,50.914,99.435,metagreywacke
439.5,2.655,1.332,288.221,51.004,99.484,metagreywacke
440,2.65,1.36,266.099,49.295,99.532,polymict lithic breccia
440.5,2.647,1.363,243.978,47.585,99.657,metagreywacke
441,2.644,1.367,243.978,47.366,99.781,metagreywacke
441.5,2.64,1.37,243.978,47.147,99.905,metagreywacke
442,2.637,1.374,243.978,46.927,99.916,metagreywacke
442.5,2.63,1.377,230.364,46.708,99.927,metagreywacke
443,2.622,1.381,216.751,46.512,100.056,metagreywacke
443.5,2.624,1.381,203.137,46.315,100.185,metagreywacke
444,2.627,1.382,198.599,47.919,100.313,metagreywacke
444.5,2.629,1.382,194.062,49.522,100.442,metagreywacke
445,2.631,1.383,189.524,48.355,100.571,metagreywacke
445.5,2.633,1.383,198.032,47.188,100.699,metagreywacke
446,2.635,1.384,206.541,46.021,100.828,metagreywacke
446.5,2.638,1.384,215.049,40.635,100.957,metagreywacke
447,2.645,1.402,223.557,35.407,101.085,metagreywacke
447.5,2.653,1.421,230.364,31.592,101.744,metagreywacke
448,2.661,1.467,237.171,30.646,101.221,polymict lithic breccia
448.5,2.672,1.477,243.978,29.701,100.697,polymict lithic breccia
449,2.682,1.487,257.591,29.701,100.697,polymict lithic breccia
449.5,2.682,1.487,271.204,,,
450,,,271.204,,,
